championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 Shotgun World Championship,Trap Women,Qualification,46,1980,BROWNING Kayle,USA,109
2022 Shotgun World Championship,Trap Women,Qualification,47,1064,EYVAZOVA Ulviyya,AZE,108
2022 Shotgun World Championship,Trap Women,Qualification,48,1318,RECASENS Loemy,FRA,108
2022 Shotgun World Championship,Trap Women,Qualification,49,1266,MUNOZ DELEON MORAL Francisca,ESP,108
2022 Shotgun World Championship,Trap Women,Qualification,50,1554,RYSBEKOVA Sarsenkul,KAZ,107
2022 Shotgun World Championship,Trap Women,Qualification,51,1941,KAYA Rumeysa Pelin,TUR,107
2022 Shotgun World Championship,Trap Women,Qualification,52,1946,SARITURK TEMIZDEMIR Safiye,TUR,107
2022 Shotgun World Championship,Trap Women,Qualification,53,1694,GALEA Mikaela,MLT,107
2022 Shotgun World Championship,Trap Women,Qualification,54,1542,DOSMAGAMBETOVA Aizhan,KAZ,106
2022 Shotgun World Championship,Trap Women,Qualification,55,1192,KONSTANTINIDOU Georgia,CYP,106
2022 Shotgun World Championship,Trap Women,Qualification,56,1818,SAIZU Diana,ROU,105
2022 Shotgun World Championship,Trap Women,Qualification,57,1729,KWEK SuArn,NZL,104
2022 Shotgun World Championship,Trap Women,Qualification,58,1840,MACEK Jasmina,SLO,103
2022 Shotgun World Championship,Trap Women,Qualification,59,1277,POPP Aili,EST,103
2022 Shotgun World Championship,Trap Women,Qualification,60,1098,CURY Camilla Alexandra,BRA,103
2022 Shotgun World Championship,Trap Women,Qualification,61,1454,KEER Manisha,IND,102
2022 Shotgun World Championship,Trap Women,Qualification,62,1109,ALI Selin,BUL,100
2022 Shotgun World Championship,Trap Women,Qualification,63,1588,ABDULMALIK Hajar,KUW,99
2022 Shotgun World Championship,Trap Women,Qualification,64,1439,TOEMOER-TONES Petra Anna,HUN,98
2022 Shotgun World Championship,Trap Women,Qualification,65,1431,JONA Bemadett,HUN,98
2022 Shotgun World Championship,Trap Women,Qualification,66,1063,BABAYEVA Aydan,AZE,96
2022 Shotgun World Championship,Trap Women,Qualification,67,1181,ZRINSKI Renata,CRO,95
2022 Shotgun World Championship,Trap Women,Qualification,68,1792,ACEVEDO RIVERA Ariadna Gabriela,PUR,94
2022 Shotgun World Championship,Trap Women,Qualification,69,1855,TONINI Martina,SMR,93
2022 Shotgun World Championship,Trap Women,Qualification,70,1733,YANG Pei,NZL,93
2022 Shotgun World Championship,Trap Women,Qualification,71,1169,BANKO Natali,CRO,93
